sheet,field_or_column,example_value,notes
hero,ctaPrimary,BOOK NOW,Main hero and final CTA booking text
hero,ctaSecondary,VIEW ATTRACTIONS,Hero secondary CTA if used by the hero component
howItWorksMeta,title,HOW IT,How It Works section heading first part
howItWorksMeta,accent,WORKS,How It Works section heading accent word
howItWorksMeta,cta,First time? Start with our most popular 60-min pass,Mini CTA text after how-it-works
howItWorksMeta,ctaButton,Book Your Pass,Mini CTA booking button
whyUsMeta,title,WHY,Why Us section heading first part
whyUsMeta,accent,US?,Why Us section heading accent word
whyUsMeta,subtitle,Why families choose Pixel Pulse Play,Why Us section subtitle
gamesMeta,title,GAME,Games section heading first part
gamesMeta,accent,EXPERIENCE,Games section heading accent word
gamesMeta,subtitle,Choose your challenge and step into the action.,Games section subtitle
pricingMeta,ctaText,Can you beat all the rooms in 60 minutes?,Pricing CTA text
pricingMeta,ctaButton,Book Session,Pricing CTA primary button
pricingMeta,ctaBookingType,ticket,Booking modal type
promotions,linktext,Claim Offer,Per-promotion CTA button text
